Family,Feed_mode_prim,Feed_mode_sec,Feed_mode_comments,TraitRecord_ID
Hydrophilidae,Scraper/grazer,,Feed on algae and decaying plant material.,12338
Hydrophilidae,Predator,,Possibly predaceous.,12247
Hydrophilidae,Predator,,Also cannibalistic.,12248
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3409
Hydrophilidae,Predator,,Feed on aquatic invert and sm tadpoles.,12360
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3380
Hydrophilidae,Scraper/grazer,Other (specify in comments),Feed on algae and decaying plant material.  Scavenger of dead insect larvae or snails.,12354
Hydrophilidae,Scraper/grazer,Other (specify in comments),Feed on algae and decaying plant material.  Scavenger of dead insect larvae or snails.,12355
Hydrophilidae,Scraper/grazer,Other (specify in comments),Feed on algae and decaying plant material.  Scavenger of dead insect larvae or snails.,12356
Hydrophilidae,Predator,,Feed on other sm arthropods; also cannibalistic.,12357
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3375
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3376
Hydrophilidae,Predator,,Engulfer,7394
Hydrophilidae,Collector-gatherer,Piercer herbivore,,7395
Hydrophilidae,Predator,,"Feed on smal invert, mosquito larvae, arthropods, snails, small fish and tadpoles. Cannibalistic.",12362
Hydrophilidae,Scraper/grazer,Predator,Feed on plant material and sm fish.,12364
Hydrophilidae,Predator,,"Feed on snails, midge larvae, sm fish, gyrinid larvae, tadpoles, Hydophilus larvae, other aquatic nymph and larvae, crayfish.",13967
Hydrophilidae,Predator,,larvae are predators on chironomidae,3118
Hydrophilidae,Collector-gatherer,,adults eat detritus and diatoms,3119
Hydrophilidae,Collector-gatherer,,adults eat detritus and diatoms,3120
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3405
Hydrophilidae,Piercer herbivore,,,7396
Hydrophilidae,Predator,,Feed on inverts; cannibalistic.,12243
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3406
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3379
Hydrophilidae,Predator,,Also cannibalistic.,12229
Hydrophilidae,Other (specify in comments),,Adults are scavengers.,3374
Hydrophilidae,Predator,,Engulfer,7399
Hydrophilidae,Collector-gatherer,Piercer herbivore,,7400
Hydrophilidae,Predator,,Preyed on baetidae,11397
Hydrophilidae,Predator,,Feed on smal invert; cannibalistic.,12353
Hydrophilidae,Other (specify in comments),,Larvae are predators (but not aquatic); adults are scavengers.,3532
Hydrophilidae,Predator,,,13965
Hydrophilidae,Predator,,,14326
Perlidae,Predator,,,99
Perlidae,Predator,,Eats larval chironomids and hydrophsychids,100
Perlidae,Predator,,Consumed other stoneflies and mayflies,101
Perlidae,Predator,,,102
Perlidae,Predator,,Consumes larval chironomids and hydropsychids.,103
Perlidae,Predator,,,677
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3368
Perlidae,Predator,,,3874
Perlidae,Predator,,,5044
Perlidae,Predator,,,5045
Perlidae,Predator,,,5046
Perlidae,Predator,,,5113
Perlidae,Predator,,,5114
Perlidae,Predator,,,5115
Perlidae,Predator,,,5496
Perlidae,Predator,,,5498
Perlidae,Predator,,,5499
Perlidae,Predator,,"Engulfer of Chironomidae, Ephemeroptera, Tricoptera, Plecoptera",7300
Perlidae,Predator,,,10873
Perlidae,Predator,,"Ate mostly chironomids, hydropsychids, and tipulids",11053
Perlidae,Predator,,Fed on a variety of invertebrates,11426
Perlidae,Predator,,,12183
Perlidae,Predator,,,12575
Perlidae,Predator,,Consumes chironomids and hydropsychids; mayflies and caddisflies.,119
Perlidae,Predator,,Consumes chironomids and mayflies,120
Perlidae,Predator,,Consumes chironomids and hydropsychids; mayflies and caddisflies.,121
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3369
Perlidae,Predator,,,5047
Perlidae,Predator,,,5116
Perlidae,Predator,,,5246
Perlidae,Predator,,"Engulfer of Chironomidae, Ephemeroptera, Tricoptera",7296
Perlidae,Predator,,Tactile predators that forage using their antennae,10886
Perlidae,Predator,,feeding slows down over winter months,10977
Perlidae,Predator,,,11058
Perlidae,Predator,,,11348
Perlidae,Predator,,"Ate chironomids, and were also cannablistic",11399
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3367
Perlidae,Predator,,,12593
Perlidae,Predator,,Dominant carnivores.,104
Perlidae,Predator,,,5013
Perlidae,Predator,,,12594
Perlidae,Predator,,"Dominant predators on benthic invertebrates, especially chironomids, Baetis, and hydropsychid larvae.",105
Perlidae,Predator,,,5497
Perlidae,Predator,,"Engulfer of Chironomidae, Ephemeroptera, Tricoptera",7302
Perlidae,Predator,,,7867
Perlidae,Predator,,,8152
Perlidae,Predator,,,11327
Perlidae,Predator,,"Opportunistic on chironomids, mayflies, caddisflies, and stoneflies.",122
Perlidae,Predator,Other (specify in comments),"incidental consumption (9% of gut contents) of algae, detritous",3683
Perlidae,Predator,,,3873
Perlidae,Predator,,,4557
Perlidae,Predator,,"Engulfer of  Chironomidae, Ephemeroptera, Tricoptera, Simuliidae",7297
Perlidae,Predator,Other (specify in comments),Sometimes facultative detritivores,10454
Perlidae,Predator,,Sometimes substantial amounts of detritus (possibly a facultative component of the diet),10879
Perlidae,Predator,,,11108
Perlidae,Predator,,,5501
Perlidae,Predator,,"Wide variety of prey; specializes on mayflies and chironomids.  Also eats SALAMANDERS!!!  Pierces gular region, shears off legs, and eats rest of body!!!",108
Perlidae,Predator,,larval salamenders are eaten,5117
Perlidae,Predator,,,12595
Perlidae,Predator,,Voracious predators; attack salmonid eggs and alevins in aquaria!  Effective competitors with trout and sculpins for benthic prey in artificial streams.,111
Perlidae,Predator,,"Voracious predators; attack salmonid eggs and alevins in aquaria!  Effective competitors with trout and sculpins for benthic prey in artificial streams.  In natural settings eats chironomids, caddis larvae, and mayflies.  Most feeding occurs between midnight and 6 am.",112
Perlidae,Predator,Other (specify in comments),incidental consumption of plant matter,3682
Perlidae,Predator,,,3875
Perlidae,Predator,,,5500
Perlidae,Predator,,"Engulfer of Chironomidae, Ephemeroptera, Tricoptera",7305
Perlidae,Predator,,,10880
Perlidae,Predator,,,10980
Perlidae,Predator,,,11100
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3365
Perlidae,Predator,,,3970
Perlidae,Predator,,,5042
Perlidae,Predator,,,5488
Perlidae,Predator,,Engulfer,7298
Perlidae,Predator,,,12596
Perlidae,Predator,,Net-spinning caddisflies,124
Perlidae,Predator,,"Consumes chrionomids and hydropsychids (same as Agnetina nymphs), mainly between 1 and 5 am.",125
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3370
Perlidae,Predator,,,3872
Perlidae,Predator,,,4739
Perlidae,Predator,,,5048
Perlidae,Predator,,,5247
Perlidae,Predator,,,5248
Perlidae,Predator,,"Engulfer of Diptera, Ephemeroptera, Hydropsychidae",7299
Perlidae,Predator,,Detritivore,10852
Perlidae,Predator,,Tactile predators that forage using their antennae,10887
Perlidae,Predator,,,10888
Perlidae,Predator,,Guts mostly empty in winter months,10978
Perlidae,Predator,,,11059
Perlidae,Predator,,,11262
Perlidae,Predator,,Ate mostly chironomids and hydropsychids,11400
Perlidae,Predator,,Fed on a variety of invertebrates,11427
Perlidae,Predator,,,12597
Perlidae,Predator,,Consumed mostly chironomids in Wisconsin.,113
Perlidae,Predator,Shredder,"Young nymphs fed mostly on detritus; mature nymphs fed on chironomids, simullids, and mayflies.",114
Perlidae,Predator,,Consumed mostly chironomids in Wisconsin.,115
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3410
Perlidae,Predator,,,3876
Perlidae,Predator,,,4919
Perlidae,Predator,,,5043
Perlidae,Predator,Shredder,,5120
Perlidae,Predator,,,5493
Perlidae,Predator,Collector-gatherer,"Engulfer of Chironomidae, Simuliidae, Ephemeroptera, Tichoptera",7306
Perlidae,Predator,,Detritivores and algavores at early instars,11355
Perlidae,Predator,,Fed on a variety of invertebrates,11474
Perlidae,Predator,,Fed on a variety of invertebrates,11475
Perlidae,Predator,,,12598
Perlidae,Predator,,Chironomids,117
Perlidae,Predator,,prey included chironomids and Allocapnia,2249
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3366
Perlidae,Predator,,,3974
Perlidae,Predator,,,5040
Perlidae,Predator,,,5041
Perlidae,Predator,,,12599
Perlidae,Predator,,"Feed on chironomids, mayflies, and other arthropods.",3318
Perlidae,Predator,,Preyed on baetidae,11396
Corydalidae,Predator,,,3479
Corydalidae,Predator,,Engulfer,7038
Corydalidae,Predator,,,3477
Corydalidae,Predator,,Engulfer,6738
Corydalidae,Predator,,,13170
Corydalidae,Predator,,"Feed on Simulium larvae/ pupae, larvae of Cheumatopsyche, Hydropsyche, Chironomids",13173
Corydalidae,Predator,,Engulfer,7039
Corydalidae,Predator,,,13177
Corydalidae,Predator,,,3478
Corydalidae,Predator,,Engulfer,7040
Corydalidae,Predator,,forage with mandibles held open,10885
Corydalidae,Predator,,Do not feed much in winter months,10976
Corydalidae,Predator,,,11349
Corydalidae,Predator,,"Feed on Asellus, Cheumatopsyche, Ephemerella nymphs, chironomid larvae, Nigronia.",12576
Corydalidae,Predator,,Engulfer,7050
Corydalidae,Predator,,,8153
Corydalidae,Predator,,Engulfer,7041
Corydalidae,Predator,,,3475
Gyrinidae,Other (specify in comments),,Adults are scavengers.,3553
Gyrinidae,Other (specify in comments),,Adults are scavengers.,3552
Gyrinidae,Predator,Other (specify in comments),"Larvae are predators, adults are scavengers.",3525
Gyrinidae,Predator,,,7198
Gyrinidae,Other (specify in comments),,Scavenger,13796
Gyrinidae,Predator,,,13797
Tipulidae,Collector-gatherer,,,6817
Tipulidae,Predator,,Engulfers,6819
Tipulidae,Predator,,,6919
Tipulidae,Predator,,,11375
Tipulidae,Collector-gatherer,,,7504
Tipulidae,Shredder,,Most species herbivores or detritivores.,3625
Tipulidae,Predator,,"Engulfer, esp. Oligochaeta, Diptera",6823
Tipulidae,Predator,,,6860
Tipulidae,Predator,,,11376
Tipulidae,Predator,,,12182
Tipulidae,Shredder,,Detritivores,6813
Tipulidae,Predator,,"Engulfer, esp. Oligochaeta, Diptera",6824
Tipulidae,Predator,,,6920
Tipulidae,Shredder,,"Herbivores, Chewers, Macroalgae",6825
Tipulidae,Shredder,,Decaying wood,6826
Tipulidae,Shredder,,Wood gouger; feed on wood.,7862
Tipulidae,Shredder,,Herbivore?,6814
Tipulidae,Collector-gatherer,,?,6828
Tipulidae,Predator,,Engulfer,6829
Tipulidae,Predator,,,6861
Tipulidae,Predator,,,11377
Tipulidae,Predator,,,12184
Tipulidae,Shredder,,Most species herbivores or detritivores.,3627
Tipulidae,Shredder,,Most species herbivores or detritivores.,3634
Tipulidae,Shredder,,"Chewer, Herbivore",7503
Tipulidae,Predator,,"?, Engulfer?",6830
Tipulidae,Predator,,,11378
Tipulidae,Shredder,,Most species herbivores or detritivores.,3626
Tipulidae,Shredder,,Most species herbivores or detritivores.,3633
Tipulidae,Shredder,Collector-gatherer,"Detritivore, Herbivore, Scraper, Predator of animals taken in shredding process?",6816
Tipulidae,Shredder,,,8149
Tipulidae,Shredder,,,11379
Tipulidae,Shredder,,,12192
Tipulidae,Shredder,,Most species herbivores or detritivores.,3596
Ceratopogonidae,Predator,,Engulfers,6773
Ceratopogonidae,Predator,,,3607
Ceratopogonidae,Predator,,Engulfers,6774
Ceratopogonidae,Predator,,Engulfer,7436
Ceratopogonidae,Predator,Collector-gatherer,Engulfers,6845
Ceratopogonidae,Collector-gatherer,Scraper/grazer,,6770
Ceratopogonidae,Scraper/grazer,,Scraper?,6772
Ceratopogonidae,Predator,,Engulfer,7437
Ceratopogonidae,Predator,,Engulfer,7438
Ceratopogonidae,Predator,,Engulfers,6731
Ceratopogonidae,Predator,,Engulfer,7439
Ceratopogonidae,Predator,,,3606
Ceratopogonidae,Predator,Collector-gatherer,Engulfer,6732
Ceratopogonidae,Predator,,,3608
Ceratopogonidae,Predator,,Engulfer,6733
Ceratopogonidae,Predator,,Engulfer,7440
Ceratopogonidae,Predator,Collector-gatherer,Engulfer,6734
Ceratopogonidae,Predator,,Engulfer,7441
Ceratopogonidae,Predator,,,11369
Ceratopogonidae,Predator,,,12181
